,date,rooms_cnt,url,price,price_one_metre,space,floor,floors_of_house,adress,source
0,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2720097994,8900000,122928,72.4,10,33,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
1,2020-10-23,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2864839581,6700000,186111,36.0,17,18,"Московская область, Котельники, жилой комплекс Парковый",Domofond.ru
2,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2446797271,9900000,92958,106.5,9,15,"мкр. Южный, д. 12",Domofond.ru
3,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2817836479,11300000,105509,107.1,13,17,"Московская область, Котельники, микрорайон Южный, 8",Domofond.ru
4,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2724256337,7356900,107400,68.5,5,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
5,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2690586670,9027040,101200,89.2,23,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
6,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2511627475,8384000,104800,80.0,25,25,"пр-д Яничкин, стр. 19.1",Domofond.ru
7,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2364352351,7809210,93300,83.7,4,15,"пр-д Яничкин, стр. 19.2",Domofond.ru
8,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2511363766,6240840,119100,52.4,3,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
9,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2511014084,7377450,107700,68.5,13,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
10,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2086011517,9242880,99600,92.8,2,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
11,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-1974469651,8016240,105200,76.2,14,15,"пр-д Яничкин, стр. 19.2",Domofond.ru
12,2020-10-23,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2807128994,5389920,136800,39.4,25,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
13,2020-10-23,0,https://www.domofond.ru/kvartira-na-prodazhu-kotelniki-2735271519,3791700,191500,19.8,10,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
14,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2510381631,7117200,108000,65.9,2,25,"пр-д Яничкин, стр. 4",Domofond.ru
15,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2510647425,7636120,109400,69.8,6,15,"пр-д Яничкин, стр. 19.2",Domofond.ru
16,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2880357979,6453720,109200,59.1,11,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
17,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-1866381778,7322400,113000,64.8,16,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
18,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-1972785669,7296480,112600,64.8,8,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
19,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-1866385348,6314200,120500,52.4,15,25,"пр-д Яничкин, стр. 19.1",Domofond.ru
20,2020-10-23,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2724256361,5271720,133800,39.4,9,25,"пр-д Яничкин, стр. 19.1",Domofond.ru
